Ticker,Snapshot Date,Snapshot Price,Current Price,3-Year Return (%),CV_P/E Ratio,CV_Debt-to-Equity,CV_Profit Margin,CV_Dividend Yield,CV_52w High,CV_52w Low,CV_5-Year Return (%),AG_Revenue Growth,AG_Earnings Growth,AG_Forward P/E,AG_Trailing P/E,AG_1-Year Return (%),AG_News Article Count,AG_News Sentiment Score,TT_RSI(14),TT_MACD,TT_MACD Signal,TT_SMA50,TT_SMA200,TT_Price vs SMA50,TT_Recent Volume,Correct Signal (Long-Term 3Y)
AAPL,2022-11-15,147.81,272.41,84.3,36.516087,152.411,0.26915002,0.38,277.32,169.21,264.55,0.079,0.864,32.780987,36.516087,-0.57,,,46.69190411778099,-0.7030736683160228,-1.214124660388407,145.11,152.79,2.7,73374100.0,BUY
MSFT,2022-11-15,236.1,510.18,116.09,36.234375,33.154,0.35707,0.71,555.45,344.79,207.43,0.184,0.125,34.12575,36.234375,-27.52,,,45.52510806602075,-0.8903620364514495,-3.2056615227338887,233.4,261.74,2.7,31123300.0,BUY
NVDA,2022-11-15,16.65,190.17,1042.44,54.025566,10.584,0.52414,0.02,212.19,86.62,211.3,0.556,0.592,46.15777,54.025566,-45.69,,,72.30225921091363,0.7355125276151835,0.37307564980123475,13.11,18.24,3.54,527852000.0,BUY
TSLA,2022-11-15,194.42,404.35,107.98,276.95206,17.082,0.05314,,488.54,214.25,816.56,0.116,-0.368,124.799385,276.95206,-43.47,,,30.728732364570632,-14.060355118757371,-13.22995496327418,244.51,271.97,-50.09,92226600.0,BUY
JPM,2022-11-15,123.47,303.61,145.9,15.037642,,0.347,1.98,322.25,202.16,57.2,0.088,0.116,18.136797,15.037642,-17.06,,,77.78886019858757,4.94986918080383,4.422285369068184,108.73,114.06,14.73,11085600.0,BUY
GS,2022-11-15,354.53,790.91,123.09,16.078674,586.142,0.29073998,2.02,841.28,439.38,76.17,0.207,0.371,19.030558,16.078674,-3.18,,,90.64416922949049,15.303059020221042,11.583100694023557,301.97,298.87,52.56,2609100.0,BUY
JNJ,2022-11-15,157.35,195.93,24.52,18.930433,57.766,0.27259,2.65,197.18,140.68,41.24,0.068,0.912,18.483961,18.930433,7.9,,,52.57513824403705,1.4541227876720484,1.6541415818376206,152.48,155.91,4.86,6581500.0,HOLD
UNH,2022-11-15,477.91,321.86,-32.65,16.781021,75.734,0.04042,2.75,622.83,234.6,161.88,0.122,-0.612,10.764548,16.781021,15.44,,,36.24372186440429,2.233819143183041,5.4305930932466735,498.12,483.27,-20.21,5238400.0,SELL
AMZN,2022-11-15,98.94,234.69,137.2,33.10155,43.405,0.11063,,258.6,161.38,73.2,0.134,0.382,38.160976,33.10155,-44.45,,,29.815593494970074,-6.0175905233499805,-6.290426119795133,113.35,129.01,-14.41,99533100.0,BUY
WMT,2022-11-15,47.3,102.48,116.66,38.6717,68.719,0.03079,0.92,109.58,79.81,52.45,0.048,0.561,37.67647,38.6717,-4.29,,,45.264871719936835,0.5879125697409577,0.6787401683313016,43.53,43.53,3.77,37525800.0,BUY
XOM,2022-11-15,102.94,119.29,15.88,17.338663,15.672,0.091809995,3.45,123.21,97.8,83.03,-0.051,-0.123,15.15756,17.338663,83.11,,,68.10710756581497,3.374047162793886,3.4527769115156364,89.77,80.52,13.17,20858300.0,HOLD
BA,2022-11-15,175.35,194.52,10.93,,,-0.12197,,242.69,128.88,-30.94,0.304,,413.87234,,-25.54,,,70.66053221069883,9.49556055207708,6.202921237623594,144.1,159.51,31.25,5598300.0,HOLD
NEE,2022-11-15,76.11,83.88,10.21,26.62857,144.161,0.24729,2.7,87.53,61.72,132.49,0.053,0.316,22.793478,26.62857,-4.57,,,67.09892750700017,0.7375998416509617,-0.15419422123446583,73.62,72.68,2.49,7904000.0,HOLD
PFE,2022-11-15,40.83,25.06,-38.63,14.569767,66.531,0.15654999,6.86,27.69,20.92,75.07,-0.059,-0.207,8.5529,14.569767,2.4,,,70.18500579631893,0.8492619506182493,0.6350327814181389,37.75,40.74,3.08,26143000.0,SELL
COIN,2022-11-15,55.53,284.0,411.44,24.567472,48.559,0.43664002,,444.65,142.58,-83.79,0.589,4.73,79.55182,24.567472,-84.59,,,28.526459723912893,-4.356157973007683,-3.275907092524588,66.5,101.86,-10.97,16150900.0,BUY
