Ticker,Snapshot Date,Snapshot Price,Current Price,2-6 Month Return (%),CV_P/E Ratio,CV_Debt-to-Equity,CV_Profit Margin,CV_Dividend Yield,CV_52w High,CV_52w Low,CV_5-Year Return (%),AG_Revenue Growth,AG_Earnings Growth,AG_Forward P/E,AG_Trailing P/E,AG_1-Year Return (%),AG_News Article Count,AG_News Sentiment Score,TT_RSI(14),TT_MACD,TT_MACD Signal,TT_SMA50,TT_SMA200,TT_Price vs SMA50,TT_Recent Volume,Correct Signal (Short-Term 2-6M)
AAPL,2025-08-15,232.55,272.41,17.14,36.516087,152.411,0.26915002,0.38,277.32,169.21,108.81,0.079,0.864,32.780987,36.516087,4.07,,,69.8428757029999,5.861767399705002,3.4043958497445868,208.59,220.29,23.96,51916300.0,BUY
MSFT,2025-08-15,521.62,510.18,-2.19,36.234375,33.154,0.35707,0.71,555.45,344.79,159.34,0.184,0.125,34.12575,36.234375,24.82,,,55.66315496921113,7.258133515829513,8.63133434226096,499.86,435.89,21.77,20269100.0,HOLD
NVDA,2025-08-15,182.01,190.17,4.48,54.025566,10.584,0.52414,0.02,212.19,86.62,1380.26,0.556,0.592,46.15777,54.025566,48.2,,,64.19995167792062,5.736810391906658,6.247138653862228,162.72,136.66,19.29,129554000.0,HOLD
TSLA,2025-08-15,335.58,404.35,20.49,276.95206,17.082,0.05314,,488.54,214.25,174.22,0.116,-0.368,124.799385,276.95206,56.71,,,62.66873497443202,4.725987906942407,2.0172878387731807,319.36,326.25,16.22,75000700.0,BUY
JPM,2025-08-15,292.74,303.61,3.71,15.037642,,0.347,1.98,322.25,202.16,237.38,0.088,0.116,18.136797,15.037642,42.17,,,44.207789642378664,1.6477959883713993,2.5327422417785685,283.2,253.82,9.54,6322400.0,HOLD
GS,2025-08-15,743.22,790.91,6.42,16.078674,586.142,0.29073998,2.02,841.28,439.38,314.85,0.207,0.371,19.030558,16.078674,52.87,,,59.295930212900245,13.235810915909724,13.236145049427545,685.65,600.6,57.58,1371200.0,HOLD
JNJ,2025-08-15,173.45,195.93,12.96,18.930433,57.766,0.27259,2.65,197.18,140.68,35.16,0.068,0.912,18.483961,18.930433,13.4,,,65.81276894106031,3.857607773267631,3.6777240300115257,159.68,153.31,13.77,8241700.0,BUY
UNH,2025-08-15,269.79,321.86,19.3,16.781021,75.734,0.04042,2.75,622.83,234.6,-8.59,0.122,-0.612,10.764548,16.781021,-52.28,,,45.32577415028189,-9.362167443834664,-12.644438895470344,286.43,439.18,-16.64,25011100.0,BUY
AMZN,2025-08-15,230.98,234.69,1.61,33.10155,43.405,0.11063,,258.6,161.38,45.16,0.134,0.382,38.160976,33.10155,30.06,,,49.56863580052421,0.8635412173010764,0.945827679580258,220.66,211.08,10.32,61545800.0,HOLD
WMT,2025-08-15,100.61,102.48,1.85,38.6717,68.719,0.03079,0.92,109.58,79.81,138.64,0.048,0.561,37.67647,38.6717,39.23,,,64.01322472521412,1.5648271470947321,1.3280279468540996,97.4,93.36,3.21,10858400.0,HOLD
XOM,2025-08-15,105.47,119.29,13.11,17.338663,15.672,0.091809995,3.45,123.21,97.8,209.93,-0.051,-0.123,15.15756,17.338663,-7.15,,,38.577927988008774,-1.0117760066923864,-0.7329594684013595,107.81,107.35,-2.34,13683500.0,BUY
BA,2025-08-15,233.19,194.52,-16.58,,,-0.12197,,242.69,128.88,35.57,0.304,,413.87234,,32.19,,,50.18081355914937,3.047333955108172,3.071967992570527,219.13,183.09,14.06,5320800.0,SELL
NEE,2025-08-15,71.69,83.88,17.01,26.62857,144.161,0.24729,2.7,87.53,61.72,15.49,0.053,0.316,22.793478,26.62857,-3.89,,,52.575969937030266,-0.21800191282594028,-0.2564224901844431,72.04,70.5,-0.36,6781000.0,BUY
PFE,2025-08-15,24.68,25.06,1.56,14.569767,66.531,0.15654999,6.86,27.69,20.92,-12.56,-0.059,-0.207,8.5529,14.569767,-6.4,,,53.16205783760498,0.1605433088474122,0.06369029706075569,23.8,23.83,0.88,32514000.0,HOLD
COIN,2025-08-15,324.89,284.0,-12.59,24.567472,48.559,0.43664002,,444.65,142.58,-1.03,0.589,4.73,79.55182,24.567472,64.82,,,26.96157642563948,-10.024108366518362,-4.81616304564464,335.64,267.4,-10.75,9403600.0,SELL
